property_id,society,bedrooms,baths,built_year,nearby_locations_and_other_facilities,rooms,link,floors,furnished,other_business_and_communication_facilities,other_community_facilities,lawn_or_garden,other_healthcare_and_recreation_facilities,price,area,area_sqft,servant_quarters,kitchens,store_rooms,total_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,servant_quarters_flag,store_rooms_flag,kitchens_flag,other_rooms,luxury_score,furnishing_score
1,DHA Defence,5.0,6.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_kanal_corner_bungalow_for_sale_at_the_ideal_location_of_dha_facing_park-53937385-1613-1.html,2,True,True,True,True,True,7.65,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,14062.5,1,1,1,1,1,1,1,1,1,0,0,0,1,66,25
1,DHA Defence,4.0,5.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '4', 'Bathrooms': '4', 'Kitchens': '2'}",https://www.zameen.com/Property/dha_defence_dha_9_town_prime_location_5_marla_house_for_sale_in_beautiful_dha_9_town_-_top_of_the_line-53985195-1452-1.html,True,True,True,True,True,True,2.95,5.0,1361.2549999999999,,2.0,,,21691.176470588234,1,1,1,1,1,1,1,1,1,1,1,0,1,61,25
1,DHA Defence,4.0,6.0,2024.0,,"{'Bedrooms': '4', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_outclass_designer_luxurious_bungalow_for_sale_in_dha_phase_5-52435479-1447-1.html,2,,True,True,True,True,4.9,10.0,2722.5099999999998,1.0,2.0,1.0,3.0,18014.70588235294,1,1,1,1,1,1,1,1,1,0,0,0,1,57,15
1,DHA Defence,4.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '4', 'Bathrooms': '4', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_4_most_elegant_10_marla_brand_new_modern_designer_house_for_sale_at_super_hot_location_near_to_park-52435958-1446-1.html,2,,True,True,True,True,5.1,10.0,2722.5099999999998,1.0,2.0,1.0,3.0,18750.0,1,1,1,1,1,1,1,1,1,0,0,0,1,57,15
1,DHA Defence,4.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '4', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_1_most_elegant_10_marla_brand_new_designer_house_for_sale_at_super_hot_location_near_to_park-52435971-1442-1.html,2,,True,True,True,True,4.1,10.0,2722.5099999999998,1.0,2.0,1.0,3.0,15073.529411764706,1,1,1,1,1,1,1,1,1,0,0,0,1,57,15
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_kanal_eye_catching_superb_luxury_bungalow_for_sale_on_top_location-53605538-1619-1.html,3,True,,,True,,8.65,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,15900.735294117647,1,1,1,1,1,1,1,1,1,0,0,0,0,63,25
1,DHA Defence,4.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '4', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2'}",https://www.zameen.com/Property/dha_defence_dha_phase_7_original_pictures_unfurnished_luxury_house_dha_very_hot_location_near_to_park_and_market-52640868-1450-1.html,2,True,True,True,True,True,4.25,10.0,2722.5099999999998,1.0,2.0,,,15625.0,1,1,1,1,1,1,1,1,1,0,1,0,1,61,25
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_new_build_modern_designed_5_bedroom_house_for_sale_in_phase_5_dha_lahore-52959187-1447-1.html,2,True,True,True,True,True,15.0,20.0,5445.0199999999995,2.0,2.0,1.0,3.0,27573.529411764706,1,1,1,1,1,1,1,1,1,0,0,0,0,66,25
1,DHA Defence,6.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '6', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_6_21_marla_full_basement_with_swimming_pool_house_is_for_sale_in_phase_6_dha_lahore-52951151-1448-1.html,3,,True,True,True,True,12.5,20.0,5445.0199999999995,2.0,2.0,1.0,3.0,22977.941176470587,1,1,1,1,1,1,1,1,0,0,0,0,1,48,15
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_5_new_build_1_kanal_modern_design_house_for_sale_phase_5_dha_lahore-52869187-1447-1.html,,,True,True,True,,13.25,20.0,5445.0199999999995,2.0,2.0,1.0,3.0,24356.617647058825,1,1,1,0,1,1,1,0,0,0,0,0,0,45,6
